uri,title,event_date,sentiment,categories,loc_country,loc_continent,article_count,total_article_count,summary,nytimes,indiatimes,washingtonpost,usatoday,chinadaily
eng-4504970,Why Is Trump Spouting Russian Propaganda?,2019-01-01,-0.02745098039215688,"dmoz/Society/Issues, news/Politics, dmoz/Society/Issues/Peace, dmoz/Society/Issues/Warfare and Conflict",Afghanistan,Asia,375,381,"The president's endorsement of the U.S.S.R.'s invasion of Afghanistan echoes a narrative promoted by Vladimir Putin.  It was only one moment in a 90-minute stream of madness.  President Donald Trump convened a Cabinet meeting, at which he invited all its members to praise him for his stance on the border wall and the government shutdown. There's always a lively competition to see which member of the Cabinet can grovel most abjectly. The newcomer Matthew Whitaker may be only the acting attorney ge",0,1,0,0,0
eng-4506449,Desperate migrants are found hiding in MATTRESSES,2019-01-01,-0.05882352941176472,"news/Politics, dmoz/Shopping/Home and Garden/Walls, dmoz/Society/Issues/Labor",Spain,Europe,15,15,"Footage shows guards cutting through plastic and fabric to reveal men inside  This is the extraordinary moment two migrants emerged from inside mattresses during their bid to reach Europe from Africa.  The sub-Saharan men were arrested after border guards found them at a check-point between Melilla, a Spanish enclave on the north African coast, and Morocco.  It is understood to be the first time the method has been used to smuggle migrants and there are fears criminal gangs could increasingly use",0,1,0,0,0
eng-4507173,Slain Archana's daughter tearfully recalls last hug,2019-01-01,-0.192156862745098,"news/Politics, dmoz/Society/Law/Law Enforcement",India,Asia,90,90,"New Delhi: Not a single person in the family had thought that it would be their last hug until the shots were fired. The joy of New Year turned into grief for the Gupta family as the 42-year-old architect, who sustained head injuries from a bullet fired by a family friend, succumbed to her injuries on Wednesday.  Victim Archana's daughter, Hoshika Gupta, hadn't imagined even in her wildest dreams that the hug her mother gave her would be the last one as minutes after the hug she was shot by a fam",0,1,0,0,0
eng-4507803,"Aligarh: 60 stray cattle die in a week due to 'cold and weakness', say police",2019-01-01,0.04313725490196085,"news/Politics, dmoz/Society/Issues/Animal Welfare, dmoz/Recreation/Humor/Animals",India,Asia,39,48,"After coming to know about the deaths, a team of district administration, including veterinary doctors and police, rushed to the spot to inquire into the incident on Monday.  In the last one week, as many as 60 stray cattle, including cows and calves, kept in a makeshift shed died of ""cold and weakness"" in Tappal area of Aligarh district, police said.  Police had transported 1,800 cattle in the last one week to a cow shelter run by one Shiv Dutt Sharma at Jarkari town, but the latter shifted most",0,1,0,0,0
eng-4514842,City of Keene in Dispute with Local Restaurant Owner Over 'Pho Keene Great' Name,2019-01-01,0.09019607843137245,"news/Politics, dmoz/Business/Business Services/Signage, dmoz/Recreation/Roads and Highways/Signs and Signals, dmoz/Recreation/Food/Dining Guides",United States,Noth America,11,11,"The City of Keene is asking a Vietnamese restaurant slated to open this spring to change its name.  The restaurant has a lease with the city to operate out of the same building as City Hall.  But its proposed name, Pho Keene Great, has prompted complaints, said City Manager Elizabeth Dragon.  Pho, pronounced ""fuh,"" is a kind of Vietnamese soup. ""Pho Keene"" is intended to sound like a profanity, Dragon said.  Under the terms of the lease, the restaurant must get permission from the city before han",0,1,0,0,0
eng-4515847,Analysis | Britain clings to imperial nostalgia as Brexit looms,2019-01-01,0.1607843137254903,"dmoz/Society/Issues, dmoz/Society/Government, news/Politics, dmoz/Society/Issues/Economic",-,-,16,16,"By Ishaan Tharoor Ishaan Tharoor Reporter covering foreign affairs, geopolitics and history January 4 at 12:59 AM  Want smart analysis of the most important news in your inbox every weekday along with other global reads, interesting ideas and opinions to know? Sign up for the Today's WorldView newsletter.  (Adrian Dennis)  British Prime Minister Theresa May may be on her last legs. Last month, she delayed a parliamentary vote on her much-maligned Brexit deal with Brussels, fearing it would go dow",0,0,1,0,0
eng-4514589,New sheriffs in town as African Americans win top law enforcement posts in N.C.,2019-01-01,-0.09019607843137256,"news/Politics, dmoz/Society/Issues/Immigration, dmoz/Recreation/Climbing/Ice Climbing, dmoz/Games/Party Games/Icebreaker Games",United States,Noth America,9,9,"By Barry Yeoman January 4 at 7:00 AM  DURHAM, N. C. -- Three days after he was sworn in as Durham County's new sheriff last month, Clarence Birkhead ended his department's cooperative relationship with U.S. Immigration and Customs Enforcement. Within a week, Birkhead's staff rebuffed ICE 11 times, releasing immigrants from the county jail rather than holding them for the federal agency to pick up as a first step toward deportation.  Other new sheriffs were doing much the same. In Mecklenburg and ",0,0,1,0,0
eng-4513777,'Electronic Wall' E-Verify Suspended As Border Security Shutdown Fight Persists,2019-01-01,-0.05882352941176472,"news/Politics, dmoz/Society/Issues/Immigration, dmoz/Society/Transgendered/Law, dmoz/Society/Genealogy/Emigration and Immigration",-,-,25,25,"The government shutdown began with the president's demand for border security money. But it's also shut down E-Verify, a federal program that's supposed to prevent immigrants from working illegally.  If U.S. employers want to check whether their prospective hires are eligible to work, they can't. The E-Verify database is ""currently unavailable due to a lapse in government appropriations,"" according to a note on the government-run web site.  ""There's an irony there,"" says Julie Pace, an attorney s",0,0,1,0,0
eng-4512676,Opinion | Kamala Harris's Dark Knights,2019-01-01,0.03529411764705892,"dmoz/Society, news/Politics, dmoz/Society/Politics, dmoz/Society/Relationships/Marriage",United States,Noth America,5,5,"By The Editorial Board The Editorial Board The Wall Street Journal BiographyThe Editorial Board @WSJopinion WSJOpinion Jan. 2, 2019 6:57 p.m. ET  We're still a year from the 2020 presidential primaries, but Senator Kamala Harris is already showing America how far the Democratic Party has strayed from its roots.  Democrats rightly take pride in the 1928 nomination of Gov. Al Smith, which signaled the party's affirmation that Catholics had a place in American public life. Ditto for Jack Kennedy, wh",0,0,1,0,0
eng-4512539,Turkey seeks nearly 150 arrests over Gulen ties: report - Global Village Space,2019-01-01,-0.2470588235294118,"dmoz/Society/Issues, news/Politics, dmoz/Society/Issues/Warfare and Conflict, dmoz/Society/Issues/Terrorism",Turkey,Asia,20,20,"Turkish police on Friday launched nationwide raids to detain nearly 150 people, including military personnel, suspected of ties to the group blamed for the 2016 attempted coup, local media reported.  Prosecutors in Istanbul, Konya and Ankara issued arrest warrants for 137 people as part of different investigations into followers of US-based Muslim preacher Fethullah Gulen, state news agency Anadolu and NTV broadcaster reported.  Tens of thousands of people have been arrested over alleged links to",0,0,1,0,0
eng-4511089,Opinion | Republicans should be alarmed by this sign of intelligent life in the Democratic Party,2019-01-01,0.2,"news/Politics, dmoz/Society/Politics, dmoz/Society/Politics/Campaigns and Elections, dmoz/Society/Gay, Lesbian, and Bisexual/Politics",United States,Noth America,5,5,"By George F. Will George F. Will Columnist covering politics and domestic and foreign affairs Columnist January 2 at 6:04 PM  If Republicans have a lick of sense, they are alarmed by a recent sign of intelligent life in the other party. The sign is the election by Democrats in the House of Representatives of Rep. Cheri Bustos (Ill.) as chair of the Democratic Congressional Campaign Committee. In November, she won a fourth term by 24 percentage points -- the largest margin of any Democrat running ",0,0,1,1,0
eng-4511026,Kansas Sen. Pat Roberts announces he won't seek reelection in 2020,2019-01-01,0.1058823529411765,"news/Politics, dmoz/Society/Politics/Campaigns and Elections, dmoz/Society/Gay, Lesbian, and Bisexual/Politics, dmoz/Society/Government/Parliaments and Legislatures",United States,Noth America,56,59,"By Dave Weigel and Sean Sullivan Sean Sullivan Reporter covering national politics January 4 at 12:35 PM  Sen. Pat Roberts, the blunt-speaking Kansan who worked closely with Democrats on helping the nation's farmers and protecting food stamps for millions of low-income Americans, announced Friday that he would not seek reelection in 2020.  Roberts, 82, who had conferred with his family over the holidays, said at a news conference in Manhattan, Kan., ""I am announcing that I will serve the remainde",0,0,1,0,0
eng-4510195,Texas County Swears In 17 Black Female Judges In 'Extraordinary Moment In History',2019-01-01,0.1137254901960785,"news/Politics, dmoz/Society/Politics/Campaigns and Elections",United States,Noth America,27,27,"New representation and Black Girl Magic came to a Texas county this week when 17 black women were sworn in as new judges.  The newly-elected officials made headlines in November when they won their races for various courts in Harris County, which includes Houston and surrounding areas. They were sworn in on Tuesday.  ""January 1, 2019 at noon will be an extraordinary moment in history for all of us in Harris County, Houston, Texas,"" Judge LaShawn Williams wrote on Facebook last month ahead of the ",0,0,1,1,0
eng-4517828,What It Looks Like To Have A Record Number Of Women In The House Of Representatives,2019-01-01,0.1058823529411765,"dmoz/Sports/Women, news/Politics, dmoz/Health/Women's Health/Smoking, dmoz/Health/Women's Health/Organizations",-,-,19,19,"One hundred twenty-seven. That's how many women will be in Congress this year, up from 110 in the previous Congress.  It's a jump that's simultaneously so big and so small.  On the one hand, there are 15 percent more women in this Congress than there were last session. There are now a record number of women of color in the House. There are also a slew of firsts: Congress will get its first Native American women, Muslim women, and youngest woman member ever.  On the other hand, this year's record-",0,0,0,1,0
eng-4505657,House passes bill to end US government shutdown without border wall money,2019-01-01,0.05882352941176472,"news/Politics, dmoz/Society/Issues/Housing, dmoz/Business/Real Estate/Residential, dmoz/Shopping/Home and Garden/Walls",-,-,2798,2331,"Fog surrounds the U.S. Capitol building on November 6, 2018 in Washington, DC. Today millions of Americans will head to the polls and vote in the midterm elections that will decide what party will control the House of Representatives and the U.S. Senate.  The new Democratic-held House passed legislation Thursday night that would end a partial government shutdown.  Passage of the spending packages will not move Congress closer to reopening nine unfunded federal departments for now. As the measures",0,0,0,1,1
eng-4515340,Lots of People in Delaware Seem Cool With This Racist Parade,2019-01-01,-0.09019607843137256,"dmoz/Society/Issues, news/Politics, dmoz/Society/Gay, Lesbian, and Bisexual/Pride Celebrations",United States,Noth America,11,11,"There's nothing funny about Border Patrol agents pepper spraying immigrants, or children being separated from their families. The deaths of two children in the custody of U.S. immigration authorities is nothing to laugh at.  And yet the ""Hummers Parade,"" an annual event in Middletown, DE, decided it was cool to mock all of these things. The parade, a spoof of Philadelphia's annual Mummers Parade, has apparently been running for 48 years.  The parade ""has no registration, membership, or rules. It'",0,0,0,1,0
eng-4510054,New House rules to allow Democrats to defend Obamacare,2019-01-01,0.192156862745098,"dmoz/Society/Law, news/Politics, dmoz/Society/Transgendered/Law, dmoz/Society/Law/Legal Information",United States,Noth America,42,42,"Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.  (CNN)House Democrats are moving quickly to defend the Affordable Care Act once they retake control of the chamber Thursday.  As part of its rules package for the 116th Congress, the party is granting itself authorization to intervene in the lawsuit that threatens to bring down the landmark health reform law. It directs the House's Office of General Counsel to represent lawmakers in any litigation involving ",0,0,0,1,0
eng-4509653,Ocasio-Cortez Rips Dem Leadership for Treating Planet-Saving Green New Deal as 'Controversial',2019-01-01,0.05098039215686279,"news/Politics, dmoz/Science/Environment/Climate Change, dmoz/Society/Issues/Environment, dmoz/Science/Earth Sciences/Paleogeography and Paleoclimatology",-,-,73,73,"Incoming Rep. Alexandria Ocasio-Cortez took aim at the Democratic Party on Monday over the newly-announced climate crisis committee -- a body she and other progressives say lacks the teeth needed to avert planetary disaster.  In a Twitter thread, Ocasio-Cortez said that her proposal for a select committee on a Green New Deal -- a key demand of the youth-led Sunrise Movement -- contained ""3 simple elements: 1. No fossil fuel money on climate cmte 2. Offer solutions for impacted communities 3. Draf",0,0,0,1,0
eng-4509595,"Oregon man tries stealing bike in front of police station, immediately gets arrested",2019-01-01,-0.2627450980392156,"news/Politics, dmoz/Sports/Cycling/Bike Shops, dmoz/Shopping/Sports/Cycling, dmoz/Society/Law/Law Enforcement",United States,Noth America,19,19,"WATCH Man arrested after attempting to steal bike from in front of police station  It's almost like he planned to get caught.  An Oregon man was arrested last week for trying to steal a bike that was locked up at the front door of a police station in Gladstone, about 10 miles south of Portland.  The Gladstone Police Department caught it on surveillance video. The footage shows suspect Adam Valle, 26, wearing a mask as he cuts the lock off the bike with a bolt cutter, just before Sgt. Matt Okerman",0,0,0,1,0
eng-4508388,Melania Trump posts festive New Year's selfie after Mar-a-Lago bash,2019-01-01,0.3254901960784313,"news/Politics, dmoz/Society/Government/Government-Related Organizations",United States,Noth America,5,9,"Coverage of First Lady Melania Trump has been subjected to harsh treatment at the hands of everyone from late-night comedians to mainstream news organizations. From mocking her accent, to slamming her choices of Christmas décor, Melania is constantly mocked and attacked by prominent liberals and media members. Here are some of the most over-the-top attacks on the first lady of 2018.  Melania Trump took a festive New Year's selfie and posted it to her Twitter account, and the media has yet to tak",0,0,0,1,0
eng-4505605,Manchester Victoria station stabbings treated as terror attack,2019-01-01,-0.3647058823529412,"news/Politics, dmoz/Society/Issues/Warfare and Conflict, dmoz/Society/Law/Law Enforcement, dmoz/Society/Issues/Terrorism",United Kingdom,Europe,317,347,"A 25-year-old man was arrested on suspicion of attempted murder after the incident, which happened shortly before 9pm.  Two knives were recovered at the scene and a property is being searched in the Cheetham Hill area.  In a briefing on Tuesday morning, police said they were keeping an open mind about the motive.  They have not yet confirmed whether the suspect is a British national.  The three victims were taken to a nearby hospital in a ""serious"" condition but their injuries are not thought to ",0,0,0,0,1
eng-4505406,"Kim and Trump Back at Square One: If U.S. Keeps Sanctions, North Will Keep Nuclear Program",2019-01-01,0.08235294117647052,"dmoz/Society/Issues, news/Politics, dmoz/Society/Issues/Warfare and Conflict, dmoz/Sports/Martial Arts/Korean",North Korea,Asia,639,649,"Nearly two years into his presidency and more than six months after his historic summit meeting with Kim Jong-un of North Korea, President Trump finds himself essentially back where he was at the beginning in achieving the ambitious goal of getting Mr. Kim to relinquish his nuclear arsenal.  That was the essential message of Mr. Kim's annual New Year's televised speech, where he reiterated that international sanctions must be lifted before North Korea will give up a single weapon, dismantle a sin",0,0,0,0,1
eng-4505427,Trump: Iran 'can do what they want' in Syria,2019-01-01,-0.02745098039215688,"dmoz/Society/Issues, news/Politics, dmoz/Society/Issues/Warfare and Conflict",-,-,209,244,"WASHINGTON -- US President Donald Trump on Wednesday gave Iran free rein to further entrench itself in Syria, acknowledging Tehran's attempts to bolster its presence in the beleaguered country.  ""They can do what they want there, frankly,"" he told reporters, referring to Iranian forces.  Trump's comments came two weeks after he rattled Jerusalem by announcing that he would pull all American troops out of Syria. US soldiers had been leading the coalition against the Islamic State terror group, whi",0,0,0,0,1
eng-4504743,"Taiwan won't give ground on sovereignty, Tsai Ing-wen says in new year address",2019-01-01,0.2,"dmoz/Society/Issues/Territorial Disputes, news/Politics, dmoz/Business/Mining and Drilling/Conferences, dmoz/Business/Chemicals/Biochemical",Taiwan,Asia,31,46,"Taipei will not give any ground on sovereignty despite the ruling Democratic Progressive Party's landslide defeat in local government elections late last year, the island's leader said ahead of a major speech on Taiwan by Chinese President Xi Jinping.  In late November, the opposition Kuomintang won control of 15 of 22 cities and counties - including the former DPP stronghold of Kaohsiung, a result some politicians said reflected public support for the KMT's more Beijing-friendly policies.  But T",0,0,0,0,1
eng-4505784,"Cooperation best for both China and U.S., Xi tells Trump",2019-01-01,0.3960784313725489,"news/Politics, dmoz/Society/Issues/Economic, dmoz/Business/Mining and Drilling/Conferences, dmoz/Business/Chemicals/Biochemical",China,Asia,26,30,"BEIJING (Reuters) - History shows that cooperation is the best choice for both China and the United States, Chinese President Xi Jinping told U.S. President Donald Trump in a congratulatory message on Tuesday to mark 40 years since the establishment of diplomatic relations.  The two countries agreed last month to a 90-day temporary ceasefire in their bitter trade war to give them time to hold fresh talks to try and end a dispute that has seen them level increasingly severe tariffs on each others'",0,0,0,0,1
eng-4504672,Baby saved after 35 hours in subzero conditions following Russia blast,2019-01-01,-0.2392156862745098,"news/Politics, dmoz/Business/Construction and Maintenance/Building Types, dmoz/Business/Chemicals/Explosives, dmoz/Computers/Software/Build Management",Russia,Europe,407,550,"A 10-month old boy was rescued alive after spending more than 35 hours in subzero conditions buried under the rubble of a collapsed building in Russia.  Emergency crews temporarily suspended their search for survivors Tuesday amid fears that remnants of the 10-story apartment block were too unstable following the deadly New Year's Eve gas explosion.  But a short time later rescuers heard a child crying and rushed to save it, regional Gov. Boris Dubrovsky said on his official Telegram account. Dub",0,0,0,0,1
eng-4506156,"As Hong Kong tightens screws on rebellion, democracy moves further out of reach",2019-01-01,0.06666666666666665,"dmoz/Society/Issues/Territorial Disputes, news/Politics, dmoz/Society/Politics, dmoz/Society/Politics/Democracy",China,Asia,38,38,"Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.  Hong Kong (CNN)""If this is the cup I must take, I will drink with no regret.""  Benny Tai was defiant and emotional as he faced the court. Outside, he and his fellow defendants raised their fists and supporters displayed yellow umbrellas, the symbol of Hong Kong's beleaguered pro-democracy movement. That movement is looking shakier than ever, as Tai and others begin the new year facing possible jail time -- ",0,0,0,0,1
spa-1427574,Brazil's new far-right President removes protections for Indigenous people,2019-01-01,0.09019607843137245,"dmoz/Society/Issues, news/Politics, dmoz/Society/Politics, dmoz/Society/Issues/Economic",Brazil,South America,1457,362,"Brazil's new far-right President Jair Bolsonaro has stripped the government department charged with protecting the country's Indigenous people of much of its responsibilities, which distressed critics say could lead to the destruction of dozens of tribes.  Brazilian newspaper Folha de S.Paulo reported the decision was announced just hours after the new President was sworn in as the country's leader on Tuesday (local time), and confirmed a pre-election pledge to roll back Indigenous rights and pro",0,0,0,0,1
eng-4506250,"AI predictions for 2019 from Yann LeCun, Hilary Mason, Andrew Ng, and Rumman Chowdhury",2019-01-01,0.2313725490196079,"news/Technology, dmoz/Computers/Artificial Intelligence/Games, dmoz/Computers/Artificial Intelligence/Philosophy, dmoz/Computers/Artificial Intelligence/Publications",-,-,53,53,"Above: Left to right: Cloudera machine learning general manager Hilary Mason, Accenture global responsible AI lead Rumman Chowdhury, Facebook AI Research director Yann LeCun, and Google Brain cofounder Andrew Ng  Artificial intelligence is cast all at once as the technology that will save the world and end it.  To cut through the noise and hype, VentureBeat spoke with luminaries whose views on the right way to do AI have been informed by years of working with some of the biggest tech and industry",1,1,0,0,0
eng-4510590,"Big Tech May Look Troubled, but It's Just Getting Started",2019-01-01,0.01960784313725483,"news/Technology, dmoz/Computers/Internet/Searching, dmoz/Society/Issues/Business, dmoz/Business/Information Technology/Marketing and Advertising",United States,Noth America,7,7,"SAN JOSE, Calif. -- Silicon Valley ended 2018 somewhere it had never been: embattled.  Lawmakers across the political spectrum say Big Tech, for so long the exalted embodiment of American genius, has too much power. Once seen as a force for making our lives better and our brains smarter, tech is now accused of inflaming, radicalizing, dumbing down and squeezing the masses. Tech company stocks have been pummeled from their highs. Regulation looms. Even tech executives are calling for it.  In the f",1,0,0,0,0
eng-4511411,Ocean Cleanup device in Great Pacific Garbage Patch breaks,2019-01-01,0.04313725490196085,"news/Technology, dmoz/Recreation/Collecting/Patches, dmoz/Science/Earth Sciences/Oceanography, dmoz/Business/Chemicals/Polymers",United States,Noth America,28,28,"SAN FRANCISCO -- A 60-foot chunk of the Ocean Cleanup device, deployed with much fanfare in the Great Pacific Garbage Patch in October, has broken off and the entire plastic collection system will now be towed back to port for an overhaul and upgrade.  The break was discovered on Dec. 29 during a routine inspection by the cleanup system's crew. A 60-foot end section of the 2,000-foot boom that corrals the plastic had detached, Boyan Slat, the Cleanup's CEO, posted on the Dutch non-profit's blog o",1,0,0,1,0
eng-4515761,Huawei demotes two employees and cuts their pay after tweeting from iPhone,2019-01-01,0.04313725490196085,"news/Technology, dmoz/Business/Human Resources/Employee Relations, dmoz/Computers/Systems/Handhelds, dmoz/Computers/Security/Virtual Private Networks",-,-,156,156,"Huawei has demoted and cut the pay of two of its employees after an iPhone was used to send a New Year's greeting from the company's official Twitter account. In a memo seen by both Reuters and Bloomberg, the company's corporate senior vice president Chen Lifang said that the incident had ""caused damage to the Huawei brand."" In addition to the demotion and a 5,000 yuan (around $728) monthly pay cut, the January 3rd memo said that one of the employees would also see their pay rank frozen for 12 mo",1,0,0,0,0
eng-4507395,"Hacker Group Releases '9/11 Papers', Claims Leaks Will 'Burn Down' the US Deep State",2019-01-01,-0.2549019607843137,"news/Technology, dmoz/Society/Law/Legal Information, dmoz/Society/Issues/Terrorism, dmoz/Computers/Hacking",-,-,47,47,"The document dump is just a fraction of the 18,000 secret documents related to the September 11, 2001 terrorist attacks believed to have been stolen from insurers, law firms, and government agencies.  The Dark Overlord initially threatened to release the 10GB of data unless the hacked firms paid an unspecified bitcoin ransom. However, on Wednesday, the group announced a ""tiered compensation plan"" in which the public could make bitcoin payments to unlock the troves of documents.  A day later, the ",0,1,0,0,0
eng-4507905,Google wins US approval for new radar-based motion sensor,2019-01-01,0.2862745098039217,"news/Technology, dmoz/Computers/Internet/Searching, dmoz/Business/Electronics and Electrical/Instrumentation",-,-,81,81,"Alphabet Inc's Google unit won approval from US regulators to deploy a radar-based motion sensing device known as Project Soli.  The Federal Communications Commission (FCC) said in an order late on Monday that it would grant Google a waiver to operate the Soli sensors at higher power levels than currently allowed. The FCC said the sensors can also be operated aboard aircraft.  The FCC said the decision ""will serve the public interest by providing for innovative device control features using touch",0,1,1,0,0
eng-4505527,"Artificial Intelligence could be first 'resident' on Mars, hints Musk",2019-01-01,0.003921568627450966,news/Technology,-,-,16,21,"Responding to a tweet that asked Musk what his thoughts were on the first Martian being an intelligent machine rather than a human, he replied: ""30%.""  Tech billionaire and SpaceX CEO Elon Musk wants to establish a base on Mars, and he has indicated the first resident on the planet could be Artificial Intelligence (AI).  Responding to a tweet that asked Musk what his thoughts were on the first Martian being an intelligent machine rather than a human, he replied: ""30%.""  How Musk came up with this",0,1,0,0,0
eng-4510331,'Workaround systems' help print US newspapers hit by cyber attack: source,2019-01-01,-0.1529411764705882,"news/Technology, dmoz/Business/Publishing and Printing, dmoz/Society/Issues/Warfare and Conflict, dmoz/Society/Issues/Terrorism",United States,Noth America,12,12,"It is the latest in a string of cyber attacks that have disrupted operations at manufacturing plants, hospitals, 911 emergency dispatch centers and companies around the world.  Tribune Publishing Co used ""workaround systems"" to help print major US newspapers including the Los Angeles Times on Sunday and Monday as the company recovers from a cyber attack, a source familiar with the operation said.  The company has made ""lots of progress"" in repairing infected computer systems, the person said. Sti",0,0,1,0,0
eng-4510500,Ajit Pai thanks Congress for helping him kill net neutrality rules,2019-01-01,0.08235294117647052,"news/Technology, dmoz/Society/Law/Legal Information, dmoz/Computers/Internet/Publications, dmoz/Computers/Internet/Policy",United States,Noth America,28,28,"Democratic effort to reverse repeal fell short as Congressional session ended.  Ajit Pai today celebrated a victory in his ongoing quest to prevent the US government from enforcing net neutrality rules.  The Pai-led Federal Communications Commission repealed Obama-era net neutrality rules, but the repeal could have been reversed by Congress if it acted before the end of its session. Democrats won a vote to reverse the repeal in the Senate but weren't able to get enough votes in the House of Repre",0,0,1,0,0
eng-4510937,Earthquake early warning app for LA County available for download,2019-01-01,0.0117647058823529,"news/Technology, dmoz/Science/Earth Sciences, dmoz/Science/Earth Sciences/Geophysics, dmoz/Shopping/Antiques and Collectibles/Religious and Inspirational",United States,Noth America,50,50,"Mayor Eric Garcetti tweeted this image of the ShakeAlertLA app. (mayorofla/Twitter)  When the big one comes, even seconds of warning prior to shaking could save your life. And if you live in Los Angeles County, the ShakeAlertLA app could do just that.  The app is now available for download for Apple and Android phones. Those who download the app would receive a push alert, possibly up to 20 seconds before an earthquake hits L.A. County.  MORE: USGS, Caltech officials announce rollout of West Coas",0,0,1,1,0
eng-4508358,Huawei Mate 20 Pro vs Google Pixel 3 XL review | TheINQUIRER ,2019-01-01,0.1529411764705881,"news/Technology, dmoz/Computers/Internet/Searching",-,-,47,47,"THESE DAYS, phone users want their devices to boast epic cameras, and the Huawei Mate 20 Pro and Google Pixel 3 XL are by far the most impressive the market has to offer right now.  But which handset has the edge? And what about battery life, screen, design and performance? If we were to compare all the features that make a great smartphone between these two handsets, which one would win?  Well, that's exactly what we're about to find out. We've pitted the Mate 20 Pro and Pixel 3 XL in a battle o",0,0,0,1,0
eng-4516352,"Amazon Alexa a ""DEMON device"" that gathers information that can be used to blackmail you for life",2019-01-01,0.2392156862745098,news/Technology,-,-,30,30,"(Natural News) Millions of unwitting ""sheeple"" have willingly outfitted their homes and offices with so-called ""smart"" speakers like Amazon's Alexa device, which is marketed as a convenience assistant for getting things done simply using only your voice. But as revealed by Justus Knight in a recent video update to his YouTube channel, Alexa is, practically speaking, an always-listening demon device that can monitor, track, and record people's conversations for blackmail purposes.  The epitome of ",0,0,0,1,0
eng-4516973,8 Tricks to Improve the Picture on Your New TV,2019-01-01,0.2078431372549019,"news/Technology, dmoz/Arts/Television/Guides, dmoz/Arts/Television/Schedule and Programming, dmoz/Arts/Television/Interactive",-,-,16,16,"Right now is one of the best times to buy a new TV. In early January, TV makers will announce their 2019 sets at CES, so all the 2018 set will be cheaper than usual as companies work to burn off their old inventory. And seeing as all those new, 2019 TVs won't start showing up in stores until March, at the earliest you've got a few months to enjoy your set without being envious of others. But you know what will make your TV even more enjoyable? These tricks for significantly improving its image qu",0,0,0,1,0
eng-4516729,Apple Beware: Samsung's Great Fall in China Was Swift ,2019-01-01,0.1137254901960785,"news/Technology, dmoz/Computers/Systems/Apple, dmoz/Computers/Hardware/Retailers, dmoz/Business/Chemicals/Biochemical",China,Asia,10,10,"In five years, Samsung went from China's No. 1 to less than 1% market share By Timothy W. Martin Timothy W. Martin The Wall Street Journal BiographyTimothy W. Martin @timothywmartin Google+ Timothy.Martin@wsj.com Jan. 4, 2019 7:20 a.m. ET  SEOUL -- Apple Inc.'s AAPL 4.27% recently revealed stumble in China is an all-too-familiar story for smartphone rival Samsung Electronics Co.  Five years ago, the South Korean technology giant sat atop the Chinese market, selling nearly one of every five device",0,0,0,0,1
eng-4506731,Winds improve Delhi air; pollution likely to ease up,2019-01-01,-0.1137254901960785,"dmoz/Science/Environment/Air Quality, news/Environment, dmoz/Shopping/Home and Garden/Climate Control, dmoz/Science/Technology/Quality Engineering",India,Asia,77,77,"New Delhi, Jan 4 (IANS) Despite adverse meteorological conditions, a sudden increase in wind speed improved the toxic air quality of the national capital to 'very poor' on Friday and as per the Met, it is likely to improve a few more notches over the next few days.  ""Despite unfavourable meteorological conditions including a dense fog, the overall air quality in Delhi has improved from 'severe' to 'very poor' category due to an appreciable increase in wind speed (4.1 km/hr).  ""It is likely to imp",0,1,0,0,0
eng-4511610,How A YouTube Yoga Channel Helped Me Get Over My Fear Of Working Out,2019-01-01,0.1294117647058823,"news/Health, dmoz/Society/Religion and Spirituality/Yoga",-,-,24,24,"Apparently, there's nothing my body loves more than starting a new year off by coming down with the flu. Last January, I stayed in bed for almost two weeks, and it did weird things to my head: I was sick and bored and actually angry at my body. I devoted so much headspace to feeling weak and pathetic that I started to give in to the fear that maybe I was a weak and pathetic person. Even when I started to regain my energy, I couldn't bring myself to hit the gym or even venture outside for a brisk,",1,0,0,0,0
eng-4516088,Opinion | A great first step to protect antibiotics for the future,2019-01-01,0.06666666666666665,"news/Health, dmoz/Health/Pharmacy/Drugs and Medications, dmoz/Health/Animal/Drugs and Medications, dmoz/Society/Issues/Animal Welfare",-,-,11,11,"By Editorial Board January 1 at 4:58 PM  VERY PROMISING news about antibiotic use in farm animals has come from the Food and Drug Administration. The problem of resistance -- the tendency of bacteria to fight back against antibiotic drugs -- has been growing for decades, fueled by overuse and misuse of antibiotics in human health, as well as widespread and often indiscriminate use in farm animals. But new data shows the use of antibiotics in animal agriculture has taken a marked downward turn.  A",0,0,1,0,0
eng-4516664,Tainted drugs: When medicine makes patients sicker,2019-01-01,0.03529411764705892,"news/Health, dmoz/Health/Pharmacy/Drugs and Medications, dmoz/Health/Teen Health/Drugs and Alcohol, dmoz/Shopping/Health/Home Tests",United States,Noth America,19,19,"This is a Kaiser Health News story.  The Food and Drug Administration is supposed to inspect all factories, foreign and domestic, that produce drugs for the U.S. market. But a KHN review of thousands of FDA documents -- inspection records, recalls, warning letters and lawsuits -- reveals how drugs that are poorly manufactured or contaminated can reach consumers.  Despite the jackhammer-like rhythm of a mechanical ventilator, Alicia Moreno had dozed off in a chair by her 1-year-old's hospital bed,",0,0,1,0,0
