uri,title,event_date,sentiment,categories,loc_country,loc_continent,article_count,total_article_count,delo,dnevnik,vecer
slv-65687,"Delitev točk tudi na ""vaterpolu"" v Kranju; Domžale - Celje 0:0",2020-03-01,,news/Sports,Slovenia,Europe,8,8,1,0,1
slv-66159,"MOK meni, da je prezgodaj za prestavitev OI, OKS odločno proti",2020-03-20,,news/Sports,Japan,Asia,6,6,1,0,1
slv-66546,FIFPro: Številni nogometaši si ne morejo privoščiti znižanja plač,2020-04-04,,news/Sports,Belgium,Europe,6,6,1,0,1
slv-66624,Dolarje so delili kot bonbončke,2020-04-07,,news/Sports,Switzerland,Europe,5,5,1,0,1
slv-66634,"Kar sem imel, sem vložil v minulo sezono",2020-04-07,,news/Sports,Slovenia,Europe,5,5,1,0,1
slv-67185,"Švicarji nočejo tvegati, zato so se odpovedali SP-ju",2020-05-01,,news/Sports,Switzerland,Europe,6,6,1,0,1
slv-67318,Nekatera moštva bodo - pod določenimi ukrepi - v petek lahko začela trenirati,2020-05-07,,news/Sports,United States,Noth America,5,5,1,0,1
slv-67563,"(FOTO) Haaland prvi strelec bundeslige po korona premoru, Kampl podajalec za remi",2020-05-16,,news/Sports,Germany,Europe,8,8,1,0,1
deu-1125518,Zlatan Ibrahimović se pri 38-letih vrača v nekdanji klub v Evropi,2019-12-26,0.278431372549019,"news/Sports, news/Business",Italy,Europe,370,12,1,0,1
slv-60333,Platini po zaslišanju na prostosti,2019-06-19,,"news/Sports, news/Politics",-,-,6,6,1,0,1
slv-61636,Slovenca prijeli z več kilogrami kokaina,2019-08-24,,news/Technology,Slovenia,Europe,6,6,1,0,1
slv-67174,Kritičen čas za motoriste,2020-04-30,,news/Technology,Slovenia,Europe,7,7,1,0,1
slv-57480,"FOTO:Snežni gradovi bodo, a ne pod Peco",2019-01-10,,news/Technology,Slovenia,Europe,8,8,1,0,1
slv-61513,"Teš 6 znova zaustavljen, tokrat ne bo deloval 14 dni",2019-08-19,,news/Technology,Slovenia,Europe,6,6,1,0,1
slv-65250,So mladi res ves čas na telefonu? Kaj pa njihovi starši?,2020-02-11,,news/Technology,Slovenia,Europe,8,8,1,0,1
slv-60164,"Finale lige NBA: Toronto na pragu končne zmage v ligi NBA, favorizirani Golden State zaostaja 3:1",2019-06-08,,news/Arts and Entertainment,United States,Noth America,7,7,0,0,1
slv-62019,Cristiana Ronalda posnetek očeta spravil v jok,2019-09-16,,news/Arts and Entertainment,Portugal,Europe,5,5,0,0,1
deu-1015251,Svet24.si - Nenamenoma izdala spol kraljevega otroka?,2019-04-10,,news/Arts and Entertainment,United Kingdom,Europe,85,9,0,0,1
por-445760,Meghan odločno: To ne drži!,2020-01-10,,news/Arts and Entertainment,United Kingdom,Europe,280,7,0,0,1
slv-57523,V Kinu Šiška ljubljanska premiera plesno-gledališke predstave Rojstvo Venere,2019-01-13,,news/Arts and Entertainment,Italy,Europe,5,5,0,0,1
slv-57533,"Svet24.si - Prej je skrbel za Diano, zdaj opozarja Meghan",2019-01-14,,news/Arts and Entertainment,-,-,10,10,0,0,1
slv-57696,Presenečenje: Emo 2019 bo vodila ta lepotica ...,2019-01-24,,news/Arts and Entertainment,-,-,6,6,0,0,1
slv-57954,"Möderndorfer: Država, ki je nastala na dediščini trgovine z orožjem, vas ne ceni  | MLADINA.si",2019-02-07,,news/Arts and Entertainment,-,-,9,9,0,0,1
slv-58973,Kensingtonska palača poskrbela za presenečenje: Meghan je nazaj,2019-04-02,,news/Arts and Entertainment,-,-,11,11,0,0,1
slv-59073,V Budimpešti nagradili baletna plesalca SNG Maribor ,2019-04-08,,news/Arts and Entertainment,Japan,Asia,8,8,0,0,1
slv-59547,"Afrika treh muzejev - predmeti dežel, ki veljajo za zibelko človeštva",2019-05-06,,news/Arts and Entertainment,Austria,Europe,6,6,0,0,1
slv-59633,Umrla je igralka Doris Day,2019-05-13,,news/Arts and Entertainment,United States,Noth America,8,8,0,0,1
slv-59771,Nasmejana Zala Kralj in Gašper Šantl že v domovini,2019-05-19,,news/Arts and Entertainment,Israel,Asia,5,5,0,0,1
slv-59943,MacKenzie Bezos bo več kot polovico od 36 milijard podarila,2019-05-29,,news/Arts and Entertainment,United States,Noth America,6,6,0,0,1
slv-60420,Kresnik Bronji Žakelj za roman Belo se pere na devetdeset ,2019-06-23,,news/Arts and Entertainment,Slovenia,Europe,9,9,0,0,1
slv-60622,Novi žiranti šova Znan obraz ima svoj glas,2019-07-03,,news/Arts and Entertainment,Italy,Europe,6,6,0,0,1
slv-60643,Drama v pričakovanju 43 milijonov težke prenove,2019-07-04,,news/Arts and Entertainment,Slovenia,Europe,8,8,0,0,1
slv-60663,Art Stays razmišlja o viziji sveta za prihodnost,2019-07-03,,news/Arts and Entertainment,Slovenia,Europe,6,6,0,0,1
slv-60867,Robert De Niro bo v New Yorku zgradil filmski studio,2019-07-15,,news/Arts and Entertainment,United States,Noth America,5,5,0,0,1
slv-60880,Kratki film Slovenca Alexa Cvetkova na festivalu L.A. Shorts,2019-07-16,,news/Arts and Entertainment,United States,Noth America,6,6,0,0,1
slv-60985,S hudim mačkom z Grossmanna odhaja film Tumbbad,2019-07-21,,news/Arts and Entertainment,Slovenia,Europe,7,7,0,0,1
slv-61044,Mariborski baletniki razprodali obe predstavi v gledališču Bolšoj ,2019-07-22,,news/Arts and Entertainment,Russia,Europe,10,10,0,0,1
slv-61229,Konec tedna je čas za začetek 30. Poletnega lutkovnega pristana,2019-08-01,,news/Arts and Entertainment,Slovenia,Europe,7,7,0,0,1
slv-61913,"Lutkovne predstave vse bolj angažirane opazovalke, ki ne podcenjujejo občinstva",2019-09-10,,news/Arts and Entertainment,Slovenia,Europe,13,13,0,0,1
slv-62006,"Najboljša predstava je Nekje drugje, za režijo nagrajen Tin Grabnar",2019-09-15,,news/Arts and Entertainment,Slovenia,Europe,5,5,0,0,1
slv-62081,Nekoč je bil en kos lesa: mariborske lutke z novo priredbo Ostržka ,2019-09-17,,news/Arts and Entertainment,Slovenia,Europe,8,8,0,0,1
slv-62255,Poljski ob tragediji v Stožicah ni uspelo razbiti uroka Slovenije,2019-09-27,,news/Arts and Entertainment,Poland,Europe,5,5,0,0,1
slv-62387,Snemanje TV-serije V imenu ljudstva,2019-10-02,,news/Arts and Entertainment,-,-,7,7,0,0,1
slv-62546,Matere Srebrenice zahtevajo odvzem nagrade Handkeju,2019-10-11,,news/Arts and Entertainment,Bosnia and Herzegovina,Europe,5,5,0,0,1
slv-62573,Letošnja uršljanka je Mariborčanka Nina Medved,2019-10-11,,news/Arts and Entertainment,Slovenia,Europe,7,7,0,0,1
slv-62607,Preboj: zgodba 22-letnika o uporu proti nacifašizmu. In zmagi.,2019-10-11,,news/Arts and Entertainment,Slovenia,Europe,6,6,0,0,1
slv-62741,Izjava Oliverja Frljića o napadih na vodstvo slovenskega mladinskega gledališča,2019-10-19,,news/Arts and Entertainment,Croatia,Europe,5,5,0,0,1
slv-62813,Večina umetniškega ansambla SMG-ja program vodstva odločno podpira,2019-10-24,,news/Arts and Entertainment,Slovenia,Europe,7,7,0,0,1
slv-63095,"Edward Clug nominiran za fausta, nemško gledališko nagrado",2019-11-07,,news/Arts and Entertainment,Slovenia,Europe,5,5,0,0,1
slv-63154,Lki pustolovske strašljivke Andreja Predina na odru mariborske Drame,2019-11-09,,news/Arts and Entertainment,Slovenia,Europe,6,6,0,0,1
slv-63885,Morala je biti ljubezen,2019-12-09,,news/Arts and Entertainment,-,-,9,9,0,0,1
slv-64051,Dobitnici Severjevih nagrad sta Nina Ivanišin in Ana Urbanc,2019-12-15,,news/Arts and Entertainment,Slovenia,Europe,5,5,0,0,1
slv-64386,"Humanitarka, zdravnica in Večerova kulumnistka Ninna Kozorog je Slovenka leta 2019",2020-01-05,,news/Arts and Entertainment,-,-,5,5,0,0,1
slv-64793,Mariah Carey dobila eno največjih priznanj v karieri,2020-01-19,,news/Arts and Entertainment,-,-,5,5,0,0,1
slv-64831,Spomin na holokavst: Kjer se je smrt na smrt utrudila,2020-01-22,,news/Arts and Entertainment,Slovenia,Europe,11,11,0,0,1
slv-65538,"Nasveti za umivanje rok, pravilna higiena kašlja | MLADINA.si",2020-02-24,,news/Arts and Entertainment,Italy,Europe,12,12,0,0,1
slv-65829,Na severu Italije zaradi koronavirusa v karanteni 16 milijonov ljudi,2020-03-08,,news/Arts and Entertainment,Italy,Europe,9,9,0,0,1
slv-66085,Komu letošnja lovorika za najboljše slovensko dramsko besedilo?,2020-03-16,,news/Arts and Entertainment,Slovenia,Europe,5,5,0,0,1
slv-66205,Igralka Inja Zalta sledilce na Instagramu prosila za finančno pomoč,2020-03-20,,news/Arts and Entertainment,United States,Noth America,6,6,0,0,1
slv-66216,Umrl novinar RTV Slovenija Marjan Jerman,2020-03-23,,news/Arts and Entertainment,-,-,8,8,0,0,1
slv-66258,"Domači kino s Petelinjim zajtrkom, Instalacijo ljubezni in Rezervnimi deli",2020-03-23,,news/Arts and Entertainment,Sweden,Europe,6,6,0,0,1
slv-66576,"Papež: ""Ne mislimo samo na to, kar nam manjka, ampak kaj dobrega lahko storimo""",2020-04-05,,news/Arts and Entertainment,Israel,Asia,9,9,0,0,1
slv-66577,"Danes je cvetna nedelja, verniki butare blagoslovijo sami doma",2020-04-05,,news/Arts and Entertainment,Slovenia,Europe,6,6,0,0,1
slv-66993,Noč in dan knjige na spletu,2020-04-19,,news/Arts and Entertainment,Slovenia,Europe,7,7,0,0,1
slv-67096,"Po prekinitvi del zaradi pandemije, na Notre-Dame nadaljujejo obnovo",2020-04-27,,news/Arts and Entertainment,France,Europe,5,5,0,0,1
slv-67115,"Cerkve naslednji teden odpirajo vrata, verniki spet k svetim mašam",2020-04-28,,news/Arts and Entertainment,-,-,9,9,0,0,1
slv-67456,V Braziliji v zadnjih 24 urah največ žrtev covida-19 do zdaj,2020-05-13,,news/Arts and Entertainment,Brazil,South America,8,8,0,0,1
slv-67855,"Četrt stoletja Slovenskih dnevov knjige, ki letos prepletajo virtualni in živi stik",2020-05-25,,news/Arts and Entertainment,Slovenia,Europe,8,8,0,0,1
slv-67924,Clint Eastwood: 90 let hollywoodske ikone in vsaj še prgišče filmov pred njim,2020-05-31,,news/Arts and Entertainment,United States,Noth America,5,5,0,0,1
slv-67582,"Bolnišnice v Sao Paulu na robu zloma, rekordna rast okužb v Južni Afriki, Evropa pa se odpira",2020-05-18,,"news/Arts and Entertainment, news/Business",Greece,Europe,6,6,0,0,1
spa-1761818,"Papež Frančišek: Bog nas ima še vedno rad, tudi najslabše med nami",2019-12-25,,"news/Arts and Entertainment, news/Business",-,-,92,7,0,0,1
slv-60271,Umrl je italijanski filmski in operni režiser Franco Zeffirelli,2019-06-15,,"news/Arts and Entertainment, news/Politics",Italy,Europe,6,6,0,0,1
slv-67866,"BDP v prvem četrtletju padel za 2,3 odstotka",2020-05-29,,news/Business,-,-,14,14,0,0,1
slv-57342,UKC Maribor: Od ministrstva želijo pisne obljube,2019-01-03,,news/Business,Slovenia,Europe,7,7,0,0,1
slv-57396,Obrtniki opozorili na pomanjkanje usposobljenega kadra,2019-01-05,,news/Business,Slovenia,Europe,6,6,0,0,1
slv-57711,V Rogaški Slatini načrtujejo 400 milijonov vreden orglarski center z dvorano in akademijo,2019-01-26,,news/Business,Slovenia,Europe,7,7,0,0,1
slv-58108,Batagelj nam je razkazal svoj novi prestižni hotel na Jezerskem #foto,2019-02-14,,news/Business,Slovenia,Europe,6,6,0,0,1
slv-58777,Zaradi čiščenja bilanc in prevzema stomilijonska izguba,2019-03-25,,news/Business,-,-,11,11,0,0,1
slv-60690,Zaradi bombe iz 2. svetovne vojne evakuirali 16.500 ljudi,2019-07-07,,news/Business,Germany,Europe,6,6,0,0,1
slv-60862,Delavci Aruma prejeli odpovedi: 'Žal se moramo posloviti od te firme',2019-07-15,,news/Business,Slovenia,Europe,6,6,0,0,1
slv-61181,"Vlada raje vlaga v slabo banko, kot pa v stanovanjsko področje",2019-07-31,,news/Business,Slovenia,Europe,5,5,0,0,1
slv-61713,SD in Levica: Starši v zasebnem sektorju so diskriminirani,2019-08-30,,news/Business,Slovenia,Europe,5,5,0,0,1
slv-61819,"Nevladniki: Ministrstvo z ukinitvijo dodatka kaže, da nima stika z realnostjo revščine",2019-09-05,,news/Business,-,-,7,7,0,0,1
slv-62390,"Pokojnine se bodo decembra uskladile za 1,5 odstotka ",2019-10-03,,news/Business,-,-,8,8,0,0,1
slv-62394,"V Slovenske železnice prihaja milijarder, ki so se mu uprli francoski novinarji",2019-10-03,,news/Business,-,-,5,5,0,0,1
slv-62650,Strošek stečaja Adrie Airways bo presegel pol milijona evrov,2019-10-16,,news/Business,Slovenia,Europe,6,6,0,0,1
slv-64301,Državni proračun v 11 mesecih s 300 milijoni evrov presežka,2019-12-30,,news/Business,-,-,6,6,0,0,1
slv-64668,Na Ptuju poslej od njive direktno do vilic,2020-01-15,,news/Business,Slovenia,Europe,5,5,0,0,1
slv-64687,Kriminalisti zaradi utaje davkov in ponarejanja listin ovadili dva Hrvata,2020-01-17,,news/Business,Slovenia,Europe,5,5,0,0,1
slv-64915,Regulirana bencin in dizel se bosta pocenila,2020-01-27,,news/Business,-,-,7,7,0,0,1
slv-64986,"Mestne nepremičnine: Za tržnico denar je, za Klička še ne",2020-01-30,,news/Business,Slovenia,Europe,10,10,0,0,1
slv-65021,Po svetu z novim virusom okuženih že skoraj 12.000 ljudi,2020-02-01,,news/Business,China,Asia,11,11,0,0,1
slv-65347,Januarske podražitve: Več smo plačevali tako za kruh kot za meso,2020-02-13,,news/Business,-,-,23,23,0,0,1
slv-65854,Odlična novica za voznike: Gorivo se bo precej pocenilo,2020-03-09,,news/Business,-,-,11,11,0,0,1
slv-65928,"Nepričakovan zaplet, Pogačar ostaja v karanteni",2020-03-11,,news/Business,United Arab Emirates,Asia,9,9,0,0,1
slv-66081,"Podjetjem, ki ne smejo obratovati, možnost odloga kredita za 12 mesecev",2020-03-18,,news/Business,-,-,7,7,0,0,1
slv-66244,"Temeljni dohodek za samozaposlene, varstvo otrok izenačeno s čakanjem na delo",2020-03-24,,news/Business,-,-,22,22,0,0,1
slv-66265,Predlogi ukrepov konceptualno podobni kot v drugih evropskih državah,2020-03-24,,news/Business,-,-,6,6,0,0,1
slv-66580,Pojasnilo glede uvedbe vrednostnih bonov za dopust pri slovenskih turističnih ponudnikih | GOV.SI,2020-04-06,,news/Business,-,-,11,11,0,0,1
slv-66818,Na poziv Pivčeve k zavihanju rokavov na njivah in poljih se je odzvalo 215 ljudi,2020-04-13,,news/Business,-,-,9,9,0,0,1
slv-66985,"Garancijska shema v višini dveh milijard, širitev nabora upravičencev do pomoči",2020-04-22,,news/Business,Slovenia,Europe,7,7,0,0,1
slv-67104,"""Ali je dve milijardi evrov dovolj za to, da slovensko gospodarstvo ohranimo likvidno?"" ",2020-04-28,,news/Business,-,-,10,10,0,0,1
slv-67283,Američani: Slovenija je zgodba o uspehu v boju proti koronavirusu,2020-05-06,,news/Business,-,-,8,8,0,0,1
slv-67335,Po nesreči šolskega letala odstopil hrvaški obrambni minister,2020-05-07,,news/Business,Croatia,Europe,9,9,0,0,1
slv-67343,Novogoriški župan: Goriški grozi gospodarski zlom,2020-05-07,,news/Business,Slovenia,Europe,8,8,0,0,1
slv-67370,Junija bo zaključena večina del pri rekonstrukciji odseka ceste Šmarjeta-Škofja vas,2020-05-07,,news/Business,Slovenia,Europe,5,5,0,0,1
slv-67628,(FOTO) Šmarje pri Jelšah: 41-letnik izdeloval ponarejeni denar in ga unovčeval po celi državi,2020-05-20,,news/Business,Slovenia,Europe,9,9,0,0,1
slv-67815,Načrt okrevanja: 750-milijardni sklad in 1100 milijard iz proračuna,2020-05-27,,news/Business,-,-,9,9,0,0,1
slv-67818,Počivalšek vidi možnost za povsem odprto mejo s Hrvaško že 1. junija,2020-05-27,,news/Business,Belgium,Europe,9,9,0,0,1
slv-67868,Tretji protikoronski paket: Čakanje na delo v vseh panogah podaljšano za en mesec?,2020-05-29,,news/Business,-,-,10,10,0,0,1
slv-67886,Turistični boni bodo prenosljivi med sorodniki,2020-05-27,,news/Business,-,-,8,8,0,0,1
slv-67894,Prihajajo neprijetne podrobnosti: Muhasta Meghan naj bi vojvodinjo Catherine spravila v jok,2020-05-27,,news/Business,United States,Noth America,5,5,0,0,1
spa-1486898,Tudi Avstralija zaprla zračni prostor za Boeingove 'maxe',2019-03-11,,news/Business,Ethiopia,Africa,1629,6,0,0,1
spa-1933270,Lufthansi bo nemška vlada namenila devet milijard evrov državne pomoči,2020-05-25,,news/Business,Germany,Europe,129,11,0,0,1
ukr-29028,Boeing prisiljen zmanjšati proizvodnjo najbolje prodajanega modela 737,2019-04-02,,news/Business,Ethiopia,Africa,59,9,0,0,1
slv-62247,V Parizu še več navijačev kot v Carigradu leta 2017?,2019-09-27,,"news/Business, news/Politics",Slovenia,Europe,6,6,0,0,1
slv-62759,"Fiskalni svet skrbijo finančni učinki zakonov, ki se sprejemajo",2019-10-22,,"news/Business, news/Politics",Slovenia,Europe,13,13,0,0,1
slv-59182,S kakšnim paviljonom na Expo 2020?,2019-04-12,,news/Environment,Slovenia,Europe,7,7,0,0,1
slv-63671,Nizke temperature naznanile vstop v meteorološko zimo,2019-12-01,,news/Environment,Slovenia,Europe,7,7,0,0,1
slv-60138,Krvi je v Sloveniji dovolj,2019-06-04,,news/Health,Slovenia,Europe,5,5,0,0,1
slv-61662,NIJZ: Med uporabniki elektronskih cigaret se pojavljajo resna pljučna obolenja,2019-08-24,,news/Health,-,-,7,7,0,0,1
slv-61883,Pasivno kajenje v vozilu otrokom zelo škoduje,2019-09-09,,news/Health,-,-,7,7,0,0,1
slv-63447,"Za rakom trebušne slinavke letno zboli okoli 400 ljudi, od tega je za 380 obolelih usoden",2019-11-21,,news/Health,Slovenia,Europe,7,7,0,0,1
slv-64656,Nacionalni inštitut za javno zdravje začuden nad sprenevedanjem minist,2020-01-16,,news/Health,-,-,9,9,0,0,1
slv-64772,Nevarni virus se širi po svetu,2020-01-21,,news/Health,United States,Noth America,11,5,0,0,1
slv-64962,Prvi sum okužbe s koronavirusom v Sloveniji ovržen,2020-01-29,,news/Health,Slovenia,Europe,6,6,0,0,1
slv-65756,"Prvi primer koronavirusa v Sloveniji, kako okužbo prepoznati, kam se napotiti ...",2020-03-04,,news/Health,-,-,8,8,0,0,1
slv-65765,"Epidemiologi iščejo vse, s katerimi je imel okuženi Slovenec stike",2020-03-05,,news/Health,Slovenia,Europe,6,6,0,0,1
slv-66102,"Mladi italijanski atlet: ""Pljuval sem kri in izgubil okus in vonj""",2020-03-19,,news/Health,Italy,Europe,8,8,0,0,1
slv-66118,Uvedba triaže pod nadstreškom Urgentnega centra Celje in nova organizacija NMP - Celje.info,2020-03-19,,news/Health,Slovenia,Europe,7,7,0,0,1
slv-66184,V šmarskem domu upokojencev po doslej znanih podatkih okuženi 3 zaposleni in 6 stanovalcev,2020-03-19,,news/Health,-,-,8,8,0,0,1
slv-66213,Število okuženih varovancev Doma upokojencev Šmarje pri Jelšah narašča,2020-03-23,,news/Health,Slovenia,Europe,9,9,0,0,1
slv-66470,Kužnost covida-19 velika tudi pri blažjih simptomih,2020-04-01,,news/Health,Germany,Europe,7,7,0,0,1
slv-66492,Za številkami v zvezi s pandemijo tudi neštete zgodbe ljudi | Revija Reporter,2020-04-02,,news/Health,Italy,Europe,5,5,0,0,1
slv-66670,Skoraj polovica vseh potrjenih okužb povezana z zdravstvom in domovi za starejše,2020-04-09,,news/Health,Slovenia,Europe,7,7,0,0,1
slv-66737,"Rozman: ""Razmišljamo o odprtju družbe, a poletnih počitnic v tujini najverjetneje ne bo""",2020-04-11,,news/Health,-,-,6,6,0,0,1
slv-66914,V ponedeljek znova specialistični pregledi. Kaj morate pri tem vedeti?,2020-04-17,,news/Health,Slovenia,Europe,5,5,0,0,1
slv-66947,Jereb: Smrtnost je od 10- do 35-krat višja od gripe,2020-04-21,,news/Health,Slovenia,Europe,10,10,0,0,1
slv-66962,Sodelovanje v vseslovenski raziskavi o razširjenosti virusa potrdilo 955 ljudi ,2020-04-20,,news/Health,-,-,9,9,0,0,1
slv-67381,Čez noč ambulant ni mogoče odpreti,2020-05-09,,news/Health,Slovenia,Europe,5,5,0,0,1
slv-67524,Vsi nepreklicani ukrepi za zajezitev širjenja novega koronavirusa veljajo še naprej,2020-05-15,,news/Health,Slovenia,Europe,9,9,0,0,1
slv-67757,WHO prekinil testiranja hidroksiklorokina za zdravljenje covida-19,2020-05-25,,news/Health,-,-,7,7,0,0,1
slv-67792,Splošna bolnišnica Celje: Robotska kirurgija je utečen način dela,2020-05-25,,news/Health,Slovenia,Europe,7,7,0,0,1
slv-67889,V Sloveniji je veliko bolnikov z multiplo sklerozo. Pogosteje zbolijo ženske,2020-05-28,,news/Health,Slovenia,Europe,8,8,0,0,1
slv-58669,"Drama: Roglič za 0,31 sekunde premagal Adama Yatesa  ",2019-03-19,,news/Politics,Canada,Noth America,8,8,0,0,1
slv-61753,Na kaj vas bodo opozarjali rumeni baloni na cesti?,2019-08-30,,news/Politics,-,-,8,8,0,0,1
slv-64721,"Brez filozofiranja: tudi proti Madžarom ""na glavo"" in na zmago  ",2020-01-18,,news/Politics,Sweden,Europe,6,6,0,0,1
slv-65857,"Svet za nacionalno varnost se je sestal, takšni so ukrepi",2020-03-09,,news/Politics,-,-,11,11,0,0,1
cat-9926,Turčija napadla sirske Kurde,2019-10-07,,news/Politics,Turkey,Asia,64,19,0,0,1
deu-1088032,Nobelova nagrada za mir: Mirovnik z nemirnega kontinenta,2019-10-11,,news/Politics,Norway,Europe,116,12,0,0,1
fra-479320,"V Ukrajini volijo predsednika, Porošenku napovedujejo poraz",2019-04-16,,news/Politics,Ukraine,Europe,116,13,0,0,1
hrv-193072,Papež bo razglasil 13 novih kardinalov,2019-09-01,,news/Politics,-,-,29,7,0,0,1
ita-158494,Kosovski premier Haradinaj po pozivu na sodišče za vojne zločine odstopil ,2019-07-16,,news/Politics,Kosovo,Europe,14,9,0,0,1
ita-206438,EU bo sprejel nekaj otrok prebežnikov iz Grčije,2020-03-06,,news/Politics,-,-,59,7,0,0,1
por-424787,Morales po odstopu: V državi je prišlo do državnega udara,2019-11-07,,news/Politics,Bolivia,South America,1243,10,0,0,1
rus-561660,V Parizu izgredi ob protestih rumenih jopičev,2019-03-14,,news/Politics,France,Europe,136,8,0,0,1
slv-57352,Šiško iz pripora kazensko ovadil šest sodnikov,2019-01-04,,news/Politics,Slovenia,Europe,7,7,0,0,1
slv-57361,"Drugi tir: Ušajeva omenila klic Janeza Janše, ta pa je napadel tednik Reporter",2019-01-03,,news/Politics,Slovenia,Europe,7,7,0,0,1
slv-57384,"Popovič prejel sklep o zavrnitvi pritožbe, Matoz napovedal novo pritožbo",2019-01-03,,news/Politics,Slovenia,Europe,8,8,0,0,1
slv-57400,Zavezniki Mayeve ne nameravajo podpreti dogovora o brexitu,2019-01-04,,news/Politics,United Kingdom,Europe,13,13,0,0,1
slv-57452,Foto: Ustanavlja se Katedrala svobode ,2019-01-10,,news/Politics,Slovenia,Europe,9,9,0,0,1
slv-57475,Svet24.si - Realnost je udarila: na plačilnih liskih le ničle,2019-01-12,,news/Politics,-,-,9,9,0,0,1
slv-57491,Katičeva: Pobeg iz koprskega zapora kaže na potrebo po dodatnih paznikih,2019-01-13,,news/Politics,-,-,8,8,0,0,1
slv-57498,Janez Janša na facebooku: Slovenija? Lahko se zjokamo!,2019-01-13,,news/Politics,Iran,Asia,5,5,0,0,1
slv-57563,"Katič: Nesprejemljivo je, da glede opredelitve posilstva v javnosti odmevajo dvomi",2019-01-17,,news/Politics,Slovenia,Europe,5,5,0,0,1
slv-57566,"Naši sosedi bodo delali manj, a dobili več od nas",2019-01-18,,news/Politics,-,-,8,8,0,0,1
slv-57569,Kandidat za ombudsmana Svetina: Spoštovanje človeka je moje vodilo,2019-01-18,,news/Politics,Slovenia,Europe,12,12,0,0,1
slv-57720,V Braziliji po zrušitvi jeza najmanj devet mrtvih,2019-01-26,,news/Politics,Brazil,South America,6,6,0,0,1
slv-57736,Dejan Prešiček ponudil odstop: Nisem brezčuten človek,2019-01-27,,news/Politics,Slovenia,Europe,7,7,0,0,1
slv-57739,"Vrnitev SLS Marjana Podobnika, za Cerarjevo SMC pa le malo podpore",2019-01-27,,news/Politics,-,-,6,6,0,0,1
slv-57767,Svet24.si - Koalicijska SAB ne bo glasna pri zagovarjanju Šarca,2019-01-29,,news/Politics,-,-,34,34,0,0,1
slv-57837,Preiskovalna komisija o otroški srčni kirurgiji bo zaslišala 57 prič,2019-02-01,,news/Politics,Slovenia,Europe,12,12,0,0,1
slv-57859,"Višje plače, dražji vrtci",2019-01-31,,news/Politics,Slovenia,Europe,6,6,0,0,1
slv-57876,Maduro posvaril pred državljansko vojno v Venezueli,2019-02-03,,news/Politics,Venezuela,South America,7,7,0,0,1
slv-57937,Cerar: Venezuelo je potrebno nujno stabilizirati in ji omogočiti normalne politične procese,2019-02-07,,news/Politics,United States,Noth America,8,8,0,0,1
slv-57969,Florjanu Lipušu zlati red za zasluge,2019-02-08,,news/Politics,Austria,Europe,6,6,0,0,1
slv-58035,"Slovenci v Italiji o izjavah v Bazovici: ""Vsako leto je slabše""",2019-02-12,,news/Politics,France,Europe,10,10,0,0,1
slv-58094,Trump z razglasitvijo izrednih razmer do gradnje mejnega zidu?,2019-02-14,,news/Politics,-,-,10,10,0,0,1
slv-58170,Pahor v sredo in četrtek v Bruslju pri EU in zvezi Nato (ozadje),2019-02-18,,news/Politics,Belgium,Europe,12,12,0,0,1
slv-58332,"Premier Šarec sprejel odstop ministra Lebna, pričakuje odstop Topolka",2019-02-27,,news/Politics,Slovenia,Europe,13,13,0,0,1
slv-58334,"SMC sporoča Šarcu, da okoljski resor pripada njim",2019-02-28,,news/Politics,-,-,7,7,0,0,1
slv-58346,Kje bodo pisane maske spet preganjale zimo,2019-03-02,,news/Politics,Slovenia,Europe,9,9,0,0,1
slv-58360,"Šarec: Napake delamo vsi, vprašanje je samo, kako potem reagiramo",2019-03-02,,news/Politics,-,-,7,7,0,0,1
slv-58370,Bertoncelj: Rebalans proračuna razvojen. Opozicija svari pred nestabilnostjo financ.,2019-03-02,,news/Politics,-,-,15,15,0,0,1
slv-58498,Šarec bo za novega ministra za zdravje predlagal Šabedra,2019-03-08,,news/Politics,Slovenia,Europe,12,12,0,0,1
slv-58591,Jelinčič rešuje Šarčevo zagato,2019-03-14,,news/Politics,-,-,6,6,0,0,1
slv-58597,(VIDEO) Banjaluka: Ko tudi trupla odidejo stran od neperspektivnosti in kriminala ,2019-03-12,,news/Politics,Bosnia and Herzegovina,Europe,5,5,0,0,1
slv-58665,Francoz iz Strasbourga je novi papežev diplomat v Sloveniji,2019-03-19,,news/Politics,France,Europe,7,7,0,0,1
slv-58670,Nova letala za Adrio: prvi dve že z registrom Slovenije,2019-03-31,,news/Politics,Slovenia,Europe,5,5,0,0,1
slv-58721,Vlada podpira preimenovanje praznika v priključitev Primorske k matični domovini,2019-03-21,,news/Politics,-,-,6,6,0,0,1
slv-58831,"Kandidat za ministra obljublja zdravstvo, ki ne bo ne levo ne desno",2019-03-25,,news/Politics,Slovenia,Europe,7,7,0,0,1
slv-58833,Mariborski vrtci se bodo podražili,2019-03-27,,news/Politics,Slovenia,Europe,5,5,0,0,1
slv-58965,Stranka sovražnega govora bo v soboto izvolila svoje prvo vodstvo | MLADINA.si,2019-04-03,,news/Politics,Belgium,Europe,7,7,0,0,1
slv-59004,"Šarec:  V zdravstvu ni vse tako slabo, zanič in črno, kot nam rišejo",2019-04-04,,news/Politics,-,-,7,7,0,0,1
